type;fixedacidity;volatileacidity;citricacid;residualsugar;chlorides;freesulfurdioxide;totalsulfurdioxide;density;pH;sulphates;alcohol;quality;qualitygoodornot
white;6,2;,35;,03;1,2;,064;29;120;,9934;3,22;,54;9,1;5;0
white;6,4;,26;,24;6,4;,04;27;124;,9903;3,22;,49;12,6;7;1
white;6,7;,25;,13;1,2;,041;81;174;,992;3,14;,42;9,8;5;0
white;6,7;,23;,31;2,1;,046;30;96;,9926;3,33;,64;10,7;8;1
white;7,4;,24;,29;10,1;,05;21;105;,9962;3,13;,35;9,5;5;0
white;6,2;,27;,43;7,8;,056;48;244;,9956;3,1;,51;9;6;0
white;6,8;,3;,23;4,6;,061;50,5;238,5;,9958;3,32;,6;9,5;5;0
white;6;,27;,28;4,8;,063;31;201;,9964;3,69;,71;10;5;0
white;8,6;,23;,46;1;,054;9;72;,9941;2,95;,49;9,1;6;0
white;6,7;,23;,31;2,1;,046;30;96;,9926;3,33;,64;10,7;8;1
white;7,4;,24;,29;10,1;,05;21;105;,9962;3,13;,35;9,5;5;0
white;7,1;,18;,36;1,4;,043;31;87;,9898;3,26;,37;12,7;7;1
white;7;,32;,34;1,3;,042;20;69;,9912;3,31;,65;12;7;1
white;7,4;,18;,3;8,8;,064;26;103;,9961;2,94;,56;9,3;5;0
white;6,7;,54;,28;5,4;,06;21;105;,9949;3,27;,37;9;5;0
white;6,8;,22;,31;1,4;,053;34;114;,9929;3,39;,77;10,6;7;1
white;7,1;,2;,34;16;,05;51;166;,9985;3,21;,6;9,2;6;0
white;7,1;,34;,2;6,1;,063;47;164;,9946;3,17;,42;10;5;0
white;7,3;,22;,3;8,2;,047;42;207;,9966;3,33;,46;9,5;6;0
white;7,1;,43;,61;11,8;,045;54;155;,9974;3,11;,45;8,7;5;0
white;7,1;,44;,62;11,8;,044;52;152;,9975;3,12;,46;8,7;6;0
white;7,2;,39;,63;11;,044;55;156;,9974;3,09;,44;8,7;6;0
white;6,8;,25;,31;13,3;,05;69;202;,9972;3,22;,48;9,7;6;0
white;7,1;,43;,61;11,8;,045;54;155;,9974;3,11;,45;8,7;5;0
white;7,1;,44;,62;11,8;,044;52;152;,9975;3,12;,46;8,7;6;0
white;7,2;,39;,63;11;,044;55;156;,9974;3,09;,44;8,7;6;0
white;6,1;,27;,43;7,5;,049;65;243;,9957;3,12;,47;9;5;0
white;6,9;,24;,33;1,7;,035;47;136;,99;3,26;,4;12,6;7;1
white;6,9;,21;,33;1,8;,034;48;136;,9899;3,25;,41;12,6;7;1
white;7,5;,17;,32;1,7;,04;51;148;,9916;3,21;,44;11,5;7;1
white;7,1;,26;,29;12,4;,044;62;240;,9969;3,04;,42;9,2;6;0
white;6;,34;,66;15,9;,046;26;164;,9979;3,14;,5;8,8;6;0
white;8,6;,265;,36;1,2;,034;15;80;,9913;2,95;,36;11,4;7;1
white;9,8;,36;,46;10,5;,038;4;83;,9956;2,89;,3;10,1;4;0
white;6;,34;,66;15,9;,046;26;164;,9979;3,14;,5;8,8;6;0
white;7,4;,25;,37;13,5;,06;52;192;,9975;3;,44;9,1;5;0
white;7,1;,12;,32;9,6;,054;64;162;,9962;3,4;,41;9,4;5;0
white;6;,21;,24;12,1;,05;55;164;,997;3,34;,39;9,4;5;0
white;7,5;,305;,4;18,9;,059;44;170;1;2,99;,46;9;5;0
white;7,4;,25;,37;13,5;,06;52;192;,9975;3;,44;9,1;5;0
white;7,3;,13;,32;14,4;,051;34;109;,9974;3,2;,35;9,2;6;0
white;7,1;,12;,32;9,6;,054;64;162;,9962;3,4;,41;9,4;5;0
white;7,1;,23;,35;16,5;,04;60;171;,999;3,16;,59;9,1;6;0
white;7,1;,23;,35;16,5;,04;60;171;,999;3,16;,59;9,1;6;0
white;6,9;,33;,28;1,3;,051;37;187;,9927;3,27;,6;10,3;5;0
white;6,5;,17;,54;8,5;,082;64;163;,9959;2,89;,39;8,8;6;0
white;7,2;,27;,46;18,75;,052;45;255;1;3,04;,52;8,9;5;0
white;7,2;,31;,5;13,3;,056;68;195;,9982;3,01;,47;9,2;5;0
white;6,7;,41;,34;9,2;,049;29;150;,9968;3,22;,51;9,1;5;0
white;6,7;,41;,34;9,2;,049;29;150;,9968;3,22;,51;9,1;5;0
white;5,5;,485;0;1,5;,065;8;103;,994;3,63;,4;9,7;4;0
white;6;,31;,24;3,3;,041;25;143;,9914;3,31;,44;11,3;6;0
white;7;,14;,4;1,7;,035;16;85;,9911;3,19;,42;11,8;6;0
white;7,2;,31;,5;13,3;,056;68;195;,9982;3,01;,47;9,2;5;0
white;7,3;,32;,48;13,3;,06;57;196;,9982;3,04;,5;9,2;5;0
white;5,9;,36;,04;5,7;,046;21;87;,9934;3,22;,51;10,2;5;0
white;7,8;,24;,32;12,2;,054;42;138;,9984;3,01;,54;8,8;5;0
white;7,4;,16;,31;6,85;,059;31;131;,9952;3,29;,34;9,7;5;0
white;6,9;,19;,28;5;,058;14;146;,9952;3,29;,36;9,1;6;0
white;6,4;,13;,47;1,6;,092;40;158;,9928;3,21;,36;9,8;6;0
white;6,7;,19;,36;1,1;,026;63;143;,9912;3,27;,48;11;6;0
white;7,4;,39;,23;7;,033;29;126;,994;3,14;,42;10,5;5;0
white;6,5;,24;,32;7,6;,038;48;203;,9958;3,45;,54;9,7;7;1
white;6,1;,3;,56;2,8;,044;47;179;,9924;3,3;,57;10,9;7;1
white;6,1;,3;,56;2,7;,046;46;184;,9924;3,31;,57;10,9;6;0
white;5,7;,26;,25;10,4;,02;7;57;,994;3,39;,37;10,6;5;0
white;6,5;,24;,32;7,6;,038;48;203;,9958;3,45;,54;9,7;7;1
white;6,5;,425;,4;13,1;,038;59;241;,9979;3,23;,57;9;5;0
white;6,6;,24;,27;15,8;,035;46;188;,9982;3,24;,51;9,2;5;0
white;6,8;,27;,22;8,1;,034;55;203;,9961;3,19;,52;8,9;5;0
white;6,7;,27;,31;15,7;,036;44;179;,9979;3,26;,56;9,6;5;0
white;8,2;,23;,4;1,2;,027;36;121;,992;3,12;,38;10,7;6;0
white;7,1;,37;,67;10,5;,045;49;155;,9975;3,16;,44;8,7;5;0
white;6,8;,19;,36;1,9;,035;30;96;,9917;3,15;,54;10,8;7;1
white;8,1;,28;,39;1,9;,029;18;79;,9923;3,23;,52;11,8;6;0
white;6,3;,31;,34;2,2;,045;20;77;,9927;3,3;,43;10,2;5;0
white;7,1;,37;,67;10,5;,045;49;155;,9975;3,16;,44;8,7;5;0
white;7,9;,21;,4;1,2;,039;38;107;,992;3,21;,54;10,8;6;0
white;8,5;,21;,41;4,3;,036;24;99;,9947;3,18;,53;9,7;6;0
white;8,1;,2;,4;2;,037;19;87;,9921;3,12;,54;11,2;6;0
white;6,3;,255;,37;1,1;,04;37;114;,9905;3;,39;10,9;6;0
white;5,6;,16;,27;1,4;,044;53;168;,9918;3,28;,37;10,1;6;0
white;6,4;,595;,14;5,2;,058;15;97;,9951;3,38;,36;9;4;0
white;6,3;,34;,33;4,6;,034;19;80;,9917;3,38;,58;12;7;1
white;6,9;,25;,3;4,1;,054;23;116;,994;2,99;,38;9,4;6;0
white;7,9;,22;,38;8;,043;46;152;,9934;3,12;,32;11,5;7;1
white;7,6;,18;,46;10,2;,055;58;135;,9968;3,14;,43;9,9;6;0
white;6,9;,25;,3;4,1;,054;23;116;,994;2,99;,38;9,4;6;0
white;7,2;,18;,41;1,2;,048;41;97;,9919;3,14;,45;10,4;5;0
white;8,2;,23;,4;7,5;,049;12;76;,9966;3,06;,84;9,7;6;0
white;7,4;,24;,42;14;,066;48;198;,9979;2,89;,42;8,9;6;0
white;7,4;,24;,42;14;,066;48;198;,9979;2,89;,42;8,9;6;0
white;6,1;,32;,24;1,5;,036;38;124;,9898;3,29;,42;12,4;7;1
white;5,2;,44;,04;1,4;,036;43;119;,9894;3,36;,33;12,1;8;1
white;5,2;,44;,04;1,4;,036;43;119;,9894;3,36;,33;12,1;8;1
white;6,1;,32;,24;1,5;,036;38;124;,9898;3,29;,42;12,4;7;1
white;6,4;,22;,56;14,5;,055;27;159;,998;2,98;,4;9,1;5;0
white;6,3;,36;,3;4,8;,049;14;85;,9932;3,28;,39;10,6;5;0
white;7,4;,24;,42;14;,066;48;198;,9979;2,89;,42;8,9;6;0
white;6,7;,24;,35;13,1;,05;64;205;,997;3,15;,5;9,5;5;0
white;7;,23;,36;13;,051;72;177;,9972;3,16;,49;9,8;5;0
white;8,4;,27;,46;8,7;,048;39;197;,9974;3,14;,59;9,6;6;0
white;6,7;,46;,18;2,4;,034;25;98;,9896;3,08;,44;12,6;7;1
white;7,5;,29;,31;8,95;,055;20;151;,9968;3,08;,54;9,3;5;0
white;9,8;,42;,48;9,85;,034;5;110;,9958;2,87;,29;10;5;0
white;7,1;,3;,46;1,5;,066;29;133;,9906;3,12;,54;12,7;6;0
white;7,9;,19;,45;1,5;,045;17;96;,9917;3,13;,39;11;6;0
white;7,6;,48;,37;,8;,037;4;100;,9902;3,03;,39;11,4;4;0
white;6,3;,22;,43;4,55;,038;31;130;,9918;3,35;,33;11,5;7;1
white;7,5;,27;,31;17,7;,051;33;173;,999;3,09;,64;10,2;5;0
white;6,9;,23;,4;7,5;,04;50;151;,9927;3,11;,27;11,4;6;0
white;7,2;,32;,47;5,1;,044;19;65;,991;3,03;,41;12,6;4;0
white;5,9;,23;,3;12,9;,054;57;170;,9972;3,28;,39;9,4;5;0
white;6;,67;,07;1,2;,06;9;108;,9931;3,11;,35;8,7;4;0
white;6,4;,25;,32;5,5;,049;41;176;,995;3,19;,68;9,2;6;0
white;6,4;,33;,31;5,5;,048;42;173;,9951;3,19;,66;9,3;6;0
white;7,1;,34;,15;1,2;,053;61;183;,9936;3,09;,43;9,2;5;0
white;6,8;,28;,4;22;,048;48;167;1,001;2,93;,5;8,7;5;0
white;6,9;,27;,4;14;,05;64;227;,9979;3,18;,58;9,6;6;0
white;6,8;,26;,56;11,9;,043;64;226;,997;3,02;,63;9,3;5;0
white;6,8;,29;,56;11,9;,043;66;230;,9972;3,02;,63;9,3;5;0
white;6,7;,24;,41;9,4;,04;49;166;,9954;3,12;,61;9,9;6;0
white;5,9;,3;,23;4,2;,038;42;119;,9924;3,15;,5;11;5;0
white;6,8;,53;,35;3,8;,034;26;109;,9906;3,26;,57;12,7;8;1
white;6,5;,28;,28;8,5;,047;54;210;,9962;3,09;,54;8,9;4;0
white;6,6;,28;,28;8,5;,052;55;211;,9962;3,09;,55;8,9;6;0
white;6,8;,28;,4;22;,048;48;167;1,001;2,93;,5;8,7;5;0
white;6,8;,28;,36;8;,045;28;123;,9928;3,02;,37;11,4;6;0
white;6,6;,15;,34;5,1;,055;34;125;,9942;3,36;,42;9,6;5;0
white;6,4;,29;,44;3,6;,2;75;181;,9942;3,02;,41;9,1;5;0
white;6,4;,3;,45;3,5;,197;76;180;,9942;3,02;,39;9,1;6;0
white;6,4;,29;,44;3,6;,197;75;183;,9942;3,01;,38;9,1;5;0
white;6,8;,26;,24;7,8;,052;54;214;,9961;3,13;,47;8,9;5;0
white;7,1;,32;,24;13,1;,05;52;204;,998;3,1;,49;8,8;5;0
white;6,8;,26;,24;7,8;,052;54;214;,9961;3,13;,47;8,9;5;0
white;6,8;,27;,26;16,1;,049;55;196;,9984;3,15;,5;9,3;5;0
white;7,1;,32;,24;13,1;,05;52;204;,998;3,1;,49;8,8;5;0
white;6,9;,54;,32;13,2;,05;53;236;,9973;3,2;,5;9,6;5;0
white;6,8;,26;,34;13,9;,034;39;134;,9949;3,33;,53;12;6;0
white;5,8;,28;,35;2,3;,053;36;114;,9924;3,28;,5;10,2;4;0
white;6,4;,21;,5;11,6;,042;45;153;,9972;3,15;,43;8,8;5;0
white;7;,16;,32;8,3;,045;38;126;,9958;3,21;,34;9,2;5;0
white;10,2;,44;,88;6,2;,049;20;124;,9968;2,99;,51;9,9;4;0
white;6,8;,57;,29;2,2;,04;15;77;,9938;3,32;,74;10,2;5;0
white;6,1;,4;,31;,9;,048;23;170;,993;3,22;,77;9,5;6;0
white;5,6;,245;,25;9,7;,032;12;68;,994;3,31;,34;10,5;5;0
white;6,8;,18;,38;1,4;,038;35;111;,9918;3,32;,59;11,2;7;1
white;7;,16;,32;8,3;,045;38;126;,9958;3,21;,34;9,2;5;0
white;6,7;,13;,29;5,3;,051;31;122;,9944;3,44;,37;9,7;6;0
white;6,2;,25;,25;1,4;,03;35;105;,9912;3,3;,44;11,1;7;1
white;5,8;,26;,24;9,2;,044;55;152;,9961;3,31;,38;9,4;5;0
white;7,5;,27;,36;7;,036;45;164;,9939;3,03;,33;11;5;0
white;5,8;,26;,24;9,2;,044;55;152;,9961;3,31;,38;9,4;5;0
white;5,7;,28;,24;17,5;,044;60;167;,9989;3,31;,44;9,4;5;0
white;7,5;,23;,36;7;,036;43;161;,9938;3,04;,32;11;5;0
white;7,5;,27;,36;7;,036;45;164;,9939;3,03;,33;11;5;0
white;7,2;,685;,21;9,5;,07;33;172;,9971;3;,55;9,1;6;0
white;6,2;,25;,25;1,4;,03;35;105;,9912;3,3;,44;11,1;7;1
white;6,5;,19;,3;,8;,043;33;144;,9936;3,42;,39;9,1;6;0
white;6,3;,495;,22;1,8;,046;31;140;,9929;3,39;,54;10,4;6;0
white;7,1;,24;,41;17,8;,046;39;145;,9998;3,32;,39;8,7;5;0
white;6,4;,17;,32;2,4;,048;41;200;,9938;3,5;,5;9,7;6;0
white;7,1;,25;,32;10,3;,041;66;272;,9969;3,17;,52;9,1;6;0
white;6,4;,17;,32;2,4;,048;41;200;,9938;3,5;,5;9,7;6;0
white;7,1;,24;,41;17,8;,046;39;145;,9998;3,32;,39;8,7;5;0
white;6,8;,64;,08;9,7;,062;26;142;,9972;3,37;,46;8,9;4;0
white;8,3;,28;,4;7,8;,041;38;194;,9976;3,34;,51;9,6;6;0
white;8,2;,27;,39;7,8;,039;49;208;,9976;3,31;,51;9,5;6;0
white;7,2;,23;,38;14,3;,058;55;194;,9979;3,09;,44;9;6;0
white;7,2;,23;,38;14,3;,058;55;194;,9979;3,09;,44;9;6;0
white;7,2;,23;,38;14,3;,058;55;194;,9979;3,09;,44;9;6;0
white;7,2;,23;,38;14,3;,058;55;194;,9979;3,09;,44;9;6;0
white;6,8;,52;,32;13,2;,044;54;221;,9972;3,27;,5;9,6;6;0
white;7;,26;,59;1,4;,037;40;120;,9918;3,34;,41;11,1;7;1
white;6,2;,25;,21;15,55;,039;28;159;,9982;3,48;,64;9,6;6;0
white;7,3;,32;,23;13,7;,05;49;197;,9985;3,2;,46;8,7;5;0
white;7,7;,31;,26;7,8;,031;23;90;,9944;3,13;,5;10,4;5;0
white;7,1;,21;,37;2,4;,026;23;100;,9903;3,15;,38;11,4;7;1
white;6,8;,24;,34;2,7;,047;64,5;218,5;,9934;3,3;,58;9,7;6;0
white;6,9;,4;,56;11,2;,043;40;142;,9975;3,14;,46;8,7;5;0
white;6,1;,18;,36;2;,038;20;249,5;,9923;3,37;,79;11,3;6;0
white;6,8;,21;,27;2,1;,03;26;139;,99;3,16;,61;12,6;7;1
white;5,8;,2;,27;1,4;,031;12;77;,9905;3,25;,36;10,9;7;1
white;5,6;,19;,26;1,4;,03;12;76;,9905;3,25;,37;10,9;7;1
white;6,1;,41;,14;10,4;,037;18;119;,996;3,38;,45;10;5;0
white;5,9;,21;,28;4,6;,053;40;199;,9964;3,72;,7;10;4;0
white;8,5;,26;,21;16,2;,074;41;197;,998;3,02;,5;9,8;3;0
white;6,9;,4;,56;11,2;,043;40;142;,9975;3,14;,46;8,7;5;0
white;5,8;,24;,44;3,5;,029;5;109;,9913;3,53;,43;11,7;3;0
white;5,8;,24;,39;1,5;,054;37;158;,9932;3,21;,52;9,3;6;0
white;6,7;,26;,39;1,1;,04;45;147;,9935;3,32;,58;9,6;8;1
white;6,3;,35;,3;5,7;,035;8;97;,9927;3,27;,41;11;7;1
white;6,3;,35;,3;5,7;,035;8;97;,9927;3,27;,41;11;7;1
white;6,4;,23;,39;1,8;,032;23;118;,9912;3,32;,5;11,8;6;0
white;5,8;,36;,38;,9;,037;3;75;,9904;3,28;,34;11,4;4;0
white;6,9;,115;,35;5,4;,048;36;108;,9939;3,32;,42;10,2;6;0
white;6,9;,29;,4;19,45;,043;36;156;,9996;2,93;,47;8,9;5;0
white;6,9;,28;,4;8,2;,036;15;95;,9944;3,17;,33;10,2;5;0
white;7,2;,29;,4;13,6;,045;66;231;,9977;3,08;,59;9,6;6;0
white;6,2;,24;,35;1,2;,038;22;167;,9912;3,1;,48;10,6;6;0
white;6,9;,29;,4;19,45;,043;36;156;,9996;2,93;,47;8,9;5;0
white;6,9;,32;,26;8,3;,053;32;180;,9965;3,25;,51;9,2;6;0
white;5,3;,58;,07;6,9;,043;34;149;,9944;3,34;,57;9,7;5;0
white;5,3;,585;,07;7,1;,044;34;145;,9945;3,34;,57;9,7;6;0
white;5,4;,59;,07;7;,045;36;147;,9944;3,34;,57;9,7;6;0
white;6,9;,32;,26;8,3;,053;32;180;,9965;3,25;,51;9,2;6;0
white;5,2;,6;,07;7;,044;33;147;,9944;3,33;,58;9,7;5;0
white;5,8;,25;,26;13,1;,051;44;148;,9972;3,29;,38;9,3;5;0
white;6,6;,58;,3;5,1;,057;30;123;,9949;3,24;,38;9;5;0
white;7;,29;,54;10,7;,046;59;234;,9966;3,05;,61;9,5;5;0
white;6,6;,19;,41;8,9;,046;51;169;,9954;3,14;,57;9,8;6;0
white;6,7;,2;,41;9,1;,044;50;166;,9954;3,14;,58;9,8;6;0
white;7,7;,26;,4;1,1;,042;9;60;,9915;2,89;,5;10,6;5;0
white;6,8;,32;,34;1,2;,044;14;67;,9919;3,05;,47;10,6;4;0
white;7;,3;,49;4,7;,036;17;105;,9916;3,26;,68;12,4;7;1
white;7;,24;,36;2,8;,034;22;112;,99;3,19;,38;12,6;8;1
white;6,1;,31;,58;5;,039;36;114;,9909;3,3;,6;12,3;8;1
white;6,8;,44;,37;5,1;,047;46;201;,9938;3,08;,65;10,5;4;0
white;6,7;,34;,3;15,6;,054;51;196;,9982;3,19;,49;9,3;5;0
white;7,1;,35;,24;15,4;,055;46;198;,9988;3,12;,49;8,8;5;0
white;7,3;,32;,25;7,2;,056;47;180;,9961;3,08;,47;8,8;5;0
white;6,5;,28;,33;15,7;,053;51;190;,9978;3,22;,51;9,7;6;0
white;7,2;,23;,39;14,2;,058;49;192;,9979;2,98;,48;9;7;1
white;7,2;,23;,39;14,2;,058;49;192;,9979;2,98;,48;9;7;1
white;7,2;,23;,39;14,2;,058;49;192;,9979;2,98;,48;9;7;1
white;7,2;,23;,39;14,2;,058;49;192;,9979;2,98;,48;9;7;1
white;5,9;,15;,31;5,8;,041;53;155;,9945;3,52;,46;10,5;6;0
white;7,4;,28;,42;19,8;,066;53;195;1;2,96;,44;9,1;5;0
white;6,2;,28;,22;7,3;,041;26;157;,9957;3,44;,64;9,8;7;1
white;9,1;,59;,38;1,6;,066;34;182;,9968;3,23;,38;8,5;3;0
white;6,3;,33;,27;1,2;,046;34;175;,9934;3,37;,54;9,4;6;0
white;8,3;,39;,7;10,6;,045;33;169;,9976;3,09;,57;9,4;5;0
white;7,2;,19;,46;3,8;,041;82;187;,9932;3,19;,6;11,2;7;1
white;7,5;,17;,44;11,3;,046;65;146;,997;3,17;,45;10;6;0
white;6,7;,17;,5;2,1;,043;27;122;,9923;3,15;,45;10,3;6;0
white;6,1;,41;0;1,6;,063;36;87;,9914;3,27;,67;10,8;6;0
white;8,3;,2;,35;,9;,05;12;74;,992;3,13;,38;10,5;6;0
white;6,1;,41;0;1,6;,063;36;87;,9914;3,27;,67;10,8;6;0
white;6;,29;,21;1,3;,055;42;168;,9914;3,32;,43;11,1;6;0
white;7,3;,41;,24;6,8;,057;41;163;,9949;3,2;,41;9,9;6;0
white;7,3;,41;,24;6,8;,057;41;163;,9949;3,2;,41;9,9;6;0
white;7,2;,43;,24;6,7;,058;40;163;,995;3,2;,41;9,9;5;0
white;7,3;,4;,24;6,7;,058;41;166;,995;3,2;,41;9,9;6;0
white;6,2;,33;,27;4,9;,036;30;134;,9927;3,2;,42;10,4;7;1
white;6,2;,31;,26;4,8;,037;36;148;,9928;3,21;,41;10,4;6;0
white;6,1;,36;,27;2,1;,035;16;100;,9917;3,4;,71;11,5;7;1
white;5;,55;,14;8,3;,032;35;164;,9918;3,53;,51;12,5;8;1
white;7,8;,25;,41;3,7;,042;37;149;,9954;3,36;,45;10;6;0
white;5,7;,36;,21;6,7;,038;51;166;,9941;3,29;,63;10;6;0
white;5,8;,34;,21;6,6;,04;50;167;,9941;3,29;,62;10;5;0
white;6,8;,28;,6;1,1;,132;42;127;,9934;3,09;,44;9,1;6;0
white;6,8;,25;,34;4,7;,031;34;134;,9927;3,21;,38;10,6;6;0
white;6,6;,24;,35;7,7;,031;36;135;,9938;3,19;,37;10,5;5;0
white;5,9;,3;,47;7,85;,03;19;133;,9933;3,52;,43;11,5;7;1
white;6,1;,125;,25;3,3;,04;10;69;,9934;3,54;,59;10,1;6;0
white;6;,1;,24;1,1;,041;15;65;,9927;3,61;,61;10,3;7;1
white;6,6;,24;,35;7,7;,031;36;135;,9938;3,19;,37;10,5;5;0
white;6,8;,25;,34;4,7;,031;34;134;,9927;3,21;,38;10,6;6;0
white;6,8;,28;,44;9,3;,031;35;137;,9946;3,16;,36;10,4;6;0
white;8,3;,41;,51;2;,046;11;207;,993;3,02;,55;11,4;5;0
white;7,5;,27;,31;5,8;,057;131;313;,9946;3,18;,59;10,5;5;0
white;7,9;,26;,41;15,15;,04;38;216;,9976;2,96;,6;10;6;0
white;6,4;,34;,23;6,3;,039;37;143;,9944;3,19;,65;10;6;0
white;6,5;,28;,35;15,4;,042;55;195;,9978;3,23;,5;9,6;6;0
white;7,2;,21;,41;1,3;,036;33;85;,992;3,17;,51;10,4;5;0
white;6,4;,32;,35;4,8;,03;34;101;,9912;3,36;,6;12,5;8;1
white;6,8;,24;,34;4,6;,032;37;135;,9927;3,2;,39;10,6;5;0
white;6,3;,23;,3;1,8;,033;16;91;,9906;3,28;,4;11,8;6;0
white;6,5;,28;,34;9,9;,038;30;133;,9954;3,11;,44;9,8;5;0
white;5,6;,26;,26;5,7;,031;12;80;,9923;3,25;,38;10,8;5;0
white;6,3;,23;,3;1,8;,033;16;91;,9906;3,28;,4;11,8;6;0
